record,date,time,vibration_mm_sec
1,2025-06-01,08:00:00,1.66
2,2025-06-01,08:10:00,1.52
3,2025-06-01,08:20:00,1.37
4,2025-06-01,08:30:00,1.71
5,2025-06-01,08:40:00,1.7
6,2025-06-01,08:50:00,1.76
7,2025-06-01,09:00:00,1.79
8,2025-06-01,09:10:00,1.72
9,2025-06-01,09:20:00,1.65
10,2025-06-01,09:30:00,1.15
11,2025-06-01,09:40:00,1.28
12,2025-06-01,09:50:00,1.41
13,2025-06-01,10:00:00,1.55
14,2025-06-01,10:10:00,1.66
15,2025-06-01,10:20:00,1.13
16,2025-06-01,10:30:00,1.49
17,2025-06-01,10:40:00,1.78
18,2025-06-01,10:50:00,1.33
19,2025-06-01,11:00:00,1.5
20,2025-06-01,11:10:00,1.34
21,2025-06-01,11:20:00,1.63
22,2025-06-01,11:30:00,1.28
23,2025-06-01,11:40:00,1.13
24,2025-06-01,11:50:00,1.36
25,2025-06-01,12:00:00,1.25
26,2025-06-01,12:10:00,1.68
27,2025-06-01,12:20:00,1.27
28,2025-06-01,12:30:00,1.79
29,2025-06-01,12:40:00,1.67
30,2025-06-01,12:50:00,1.69
31,2025-06-01,13:00:00,1.79
32,2025-06-01,13:10:00,1.45
33,2025-06-01,13:20:00,1.35
34,2025-06-01,13:30:00,1.78
35,2025-06-01,13:40:00,1.31
36,2025-06-01,13:50:00,1.14
37,2025-06-01,14:00:00,1.19
38,2025-06-01,14:10:00,1.47
39,2025-06-01,14:20:00,1.24
40,2025-06-01,14:30:00,1.48
41,2025-06-01,14:40:00,1.52
42,2025-06-01,14:50:00,1.78
43,2025-06-01,15:00:00,1.52
44,2025-06-01,15:10:00,1.73
45,2025-06-01,15:20:00,1.58
46,2025-06-01,15:30:00,1.17
47,2025-06-01,15:40:00,1.19
48,2025-06-01,15:50:00,1.66
49,2025-06-01,16:00:00,1.46
50,2025-06-01,16:10:00,1.22
51,2025-06-01,16:20:00,1.69
52,2025-06-01,16:30:00,1.6
53,2025-06-01,16:40:00,1.39
54,2025-06-01,16:50:00,1.52
55,2025-06-01,17:00:00,1.79
56,2025-06-01,17:10:00,1.15
57,2025-06-01,17:20:00,1.24
58,2025-06-01,17:30:00,1.75
59,2025-06-01,17:40:00,1.69
60,2025-06-01,17:50:00,1.32
61,2025-06-01,18:00:00,1.69
62,2025-06-01,18:10:00,1.14
63,2025-06-01,18:20:00,1.59
64,2025-06-01,18:30:00,1.69
65,2025-06-01,18:40:00,1.22
66,2025-06-01,18:50:00,1.35
67,2025-06-01,19:00:00,1.3
68,2025-06-01,19:10:00,1.14
69,2025-06-01,19:20:00,1.75
70,2025-06-01,19:30:00,1.76
71,2025-06-01,19:40:00,1.24
72,2025-06-01,19:50:00,1.57
73,2025-06-01,20:00:00,1.33
74,2025-06-01,20:10:00,1.56
75,2025-06-01,20:20:00,1.13
76,2025-06-01,20:30:00,1.62
77,2025-06-01,20:40:00,1.16
78,2025-06-01,20:50:00,1.62
79,2025-06-01,21:00:00,1.15
80,2025-06-01,21:10:00,1.5
81,2025-06-01,21:20:00,1.63
82,2025-06-01,21:30:00,1.57
83,2025-06-01,21:40:00,1.58
84,2025-06-01,21:50:00,1.66
85,2025-06-01,22:00:00,1.37
86,2025-06-01,22:10:00,1.74
87,2025-06-01,22:20:00,1.36
88,2025-06-01,22:30:00,1.66
89,2025-06-01,22:40:00,1.52
90,2025-06-01,22:50:00,1.57
91,2025-06-01,23:00:00,1.33
92,2025-06-01,23:10:00,1.57
93,2025-06-01,23:20:00,1.5
94,2025-06-01,23:30:00,1.63
95,2025-06-01,23:40:00,1.65
96,2025-06-01,23:50:00,1.78
97,2025-06-02,00:00:00,1.62
98,2025-06-02,00:10:00,1.2
99,2025-06-02,00:20:00,1.13
100,2025-06-02,00:30:00,1.26
