record,date,time,vibration_mm_sec
1,2025-06-01,01:00:00,1.99
2,2025-06-01,01:05:00,1.62
3,2025-06-01,01:10:00,1.94
4,2025-06-01,01:15:00,1.99
5,2025-06-01,01:20:00,1.69
6,2025-06-01,01:25:00,1.78
7,2025-06-01,01:30:00,1.99
8,2025-06-01,01:35:00,1.68
9,2025-06-01,01:40:00,1.58
10,2025-06-01,01:45:00,1.67
11,2025-06-01,01:50:00,1.66
12,2025-06-01,01:55:00,1.8
13,2025-06-01,02:00:00,1.78
14,2025-06-01,02:05:00,1.55
15,2025-06-01,02:10:00,1.9
16,2025-06-01,02:15:00,1.92
17,2025-06-01,02:20:00,1.75
18,2025-06-01,02:25:00,1.78
19,2025-06-01,02:30:00,1.63
20,2025-06-01,02:35:00,1.94
21,2025-06-01,02:40:00,1.68
22,2025-06-01,02:45:00,1.81
23,2025-06-01,02:50:00,1.79
24,2025-06-01,02:55:00,1.79
25,2025-06-01,03:00:00,1.69
26,2025-06-01,03:05:00,1.86
27,2025-06-01,03:10:00,1.73
28,2025-06-01,03:15:00,1.63
29,2025-06-01,03:20:00,1.64
30,2025-06-01,03:25:00,1.9
31,2025-06-01,03:30:00,1.85
32,2025-06-01,03:35:00,1.8
33,2025-06-01,03:40:00,1.87
34,2025-06-01,03:45:00,1.54
35,2025-06-01,03:50:00,1.91
36,2025-06-01,03:55:00,1.95
37,2025-06-01,04:00:00,1.82
38,2025-06-01,04:05:00,1.96
39,2025-06-01,04:10:00,1.97
40,2025-06-01,04:15:00,1.7
41,2025-06-01,04:20:00,1.58
42,2025-06-01,04:25:00,1.65
43,2025-06-01,04:30:00,1.76
44,2025-06-01,04:35:00,1.74
45,2025-06-01,04:40:00,1.65
46,2025-06-01,04:45:00,1.96
47,2025-06-01,04:50:00,1.81
48,2025-06-01,04:55:00,1.64
49,2025-06-01,05:00:00,1.9
50,2025-06-01,05:05:00,1.78
51,2025-06-01,05:10:00,1.95
52,2025-06-01,05:15:00,1.78
53,2025-06-01,05:20:00,1.96
54,2025-06-01,05:25:00,1.54
55,2025-06-01,05:30:00,1.87
56,2025-06-01,05:35:00,1.72
57,2025-06-01,05:40:00,1.52
58,2025-06-01,05:45:00,1.61
59,2025-06-01,05:50:00,1.57
60,2025-06-01,05:55:00,1.91
61,2025-06-01,06:00:00,1.84
62,2025-06-01,06:05:00,1.71
63,2025-06-01,06:10:00,1.66
64,2025-06-01,06:15:00,1.64
65,2025-06-01,06:20:00,1.84
66,2025-06-01,06:25:00,1.64
67,2025-06-01,06:30:00,1.87
68,2025-06-01,06:35:00,1.99
69,2025-06-01,06:40:00,1.72
70,2025-06-01,06:45:00,1.89
71,2025-06-01,06:50:00,1.59
72,2025-06-01,06:55:00,1.55
73,2025-06-01,07:00:00,1.76
74,2025-06-01,07:05:00,1.98
75,2025-06-01,07:10:00,1.79
76,2025-06-01,07:15:00,1.87
77,2025-06-01,07:20:00,1.71
78,2025-06-01,07:25:00,1.85
79,2025-06-01,07:30:00,1.56
80,2025-06-01,07:35:00,1.93
81,2025-06-01,07:40:00,1.62
82,2025-06-01,07:45:00,1.68
83,2025-06-01,07:50:00,1.64
84,2025-06-01,07:55:00,1.54
85,2025-06-01,08:00:00,1.61
86,2025-06-01,08:05:00,1.9
87,2025-06-01,08:10:00,1.69
88,2025-06-01,08:15:00,1.51
89,2025-06-01,08:20:00,1.89
90,2025-06-01,08:25:00,1.55
91,2025-06-01,08:30:00,1.87
92,2025-06-01,08:35:00,1.66
93,2025-06-01,08:40:00,1.88
94,2025-06-01,08:45:00,1.64
95,2025-06-01,08:50:00,1.91
96,2025-06-01,08:55:00,1.75
97,2025-06-01,09:00:00,1.93
98,2025-06-01,09:05:00,1.9
99,2025-06-01,09:10:00,1.51
100,2025-06-01,09:15:00,1.58
101,2025-06-01,09:20:00,1.93
102,2025-06-01,09:25:00,1.82
103,2025-06-01,09:30:00,1.69
104,2025-06-01,09:35:00,1.67
105,2025-06-01,09:40:00,1.98
106,2025-06-01,09:45:00,1.54
107,2025-06-01,09:50:00,1.77
108,2025-06-01,09:55:00,1.8
109,2025-06-01,10:00:00,1.93
110,2025-06-01,10:05:00,1.8
111,2025-06-01,10:10:00,1.87
112,2025-06-01,10:15:00,1.59
113,2025-06-01,10:20:00,1.65
114,2025-06-01,10:25:00,1.79
115,2025-06-01,10:30:00,1.92
116,2025-06-01,10:35:00,1.57
117,2025-06-01,10:40:00,1.95
118,2025-06-01,10:45:00,1.91
119,2025-06-01,10:50:00,1.63
120,2025-06-01,10:55:00,1.61
